Pop,X,Y,DAUID,Extra Time (seconds),Extra time (min)
669,6980831.382,703464.8654,35370781,-675.5,-11.25833333
658,6989279.078,702316.003,35370789,-676.5,-11.275
659,6975921.147,727995.5778,35370571,-484,-8.066666667
656,6976697.374,727988.4008,35370570,-475,-7.916666667
657,6946072.895,722654.395,35370334,63.5,1.058333333
662,6989326.915,703095.3362,35370787,-676.5,-11.275
663,6946275.21,723328.728,35370333,122.5,2.041666667
660,6946969.912,723011.6272,35370335,143.5,2.391666667
661,6946547.876,723819.3168,35370332,198.5,3.308333333
554,6992542.287,698508.6671,35370811,-676.5,-11.275
555,6995763.639,698338.6504,35370812,-676,-11.26666667
552,6954226.591,728492.724,35370092,27,0.45
553,6954829.031,728328.5718,35370090,-24,-0.4
558,6948959.53,719377.8781,35370676,-60.5,-1.008333333
559,6951156.571,718807.1947,35370673,-265,-4.416666667
556,6991013.693,699764.3112,35370810,-676.5,-11.275
557,6949493.767,719495.2713,35370675,-61,-1.016666667
546,6955267.29,727161.1896,35370083,-57.5,-0.958333333
547,6954779.093,727681.4303,35370088,-31.5,-0.525
544,6953850.998,720554.5311,35370847,-308,-5.133333333
545,6955746.305,727106.3232,35370082,-200.5,-3.341666667
550,6955237.903,727675.4391,35370087,-77,-1.283333333
551,6954445.987,728196.3438,35370091,4.5,0.075
548,6954979.59,728050.5671,35370089,-77,-1.283333333
549,6954932.088,727400.1854,35370086,-44.5,-0.741666667
570,6994048.971,710962.6296,35370817,-618.5,-10.30833333
571,6996046.873,714376.2988,35370818,-567.5,-9.458333333
568,6956329.93,731184.8026,35370554,-217.5,-3.625
569,6996033.342,733002.4247,35370555,-532.5,-8.875
574,6951267.184,718382.3441,35370671,-262,-4.366666667
575,6988757.717,732563.1918,35370559,-541,-9.016666667
572,6957173.033,731386.5574,35370553,-167,-2.783333333
573,6987970.985,731614.5912,35370558,-548,-9.133333333
562,6996958.398,709416.3678,35370816,-634.5,-10.575
563,6995191.611,696616.2283,35370813,-676.5,-11.275
560,6992417.646,706082.2985,35370815,-676,-11.26666667
561,6950283.519,719314.7661,35370674,-402.5,-6.708333333
566,6986676.01,709354.359,35370819,-691,-11.51666667
567,6948570.178,719268.3524,35370678,-60.5,-1.008333333
564,6995142.916,702733.5221,35370814,-675.5,-11.25833333
565,6948461.067,719678.6688,35370677,-60.5,-1.008333333
522,6960496.615,729517.7677,35370605,-294,-4.9
523,6960730.707,728959.7858,35370608,-294.5,-4.908333333
520,6960801.627,729970.4567,35370604,-294,-4.9
521,6958590.936,727667.6603,35370065,-363.5,-6.058333333
526,6958794.195,727803.7104,35370857,-364,-6.066666667
527,6959075.985,728319.6579,35370858,-383,-6.383333333
524,6961162.502,728899.0093,35370609,-294,-4.9
525,6955109.069,727089.7467,35370859,-74.5,-1.241666667
514,6958319.542,727919.075,35370066,-363,-6.05
515,6947236.926,727071.754,35370190,549.5,9.158333333
512,6958106.349,727220.6598,35370061,-363.5,-6.058333333
513,6946504.42,703384.9292,35370729,-360.5,-6.008333333
518,6961294.663,730601.9721,35370607,-300.5,-5.008333333
519,6958180.343,727699.7102,35370064,-364,-6.066666667
516,6960178.352,730577.2724,35370606,-312,-5.2
517,6947558.905,727267.3355,35370191,710,11.83333333
538,6953077.009,729243.6125,35370099,214,3.566666667
539,6953583.027,729516.3481,35370097,125,2.083333333
536,6954586.891,728661.232,35370093,-16,-0.266666667
537,6954090.281,729055.8627,35370094,45.5,0.758333333
542,6953014.08,721095.3185,35370849,-250,-4.166666667
543,6953502.359,720370.1573,35370846,-288.5,-4.808333333
540,6953651.66,729118.6987,35370098,135,2.25
541,6953278.801,720696.059,35370848,-254.5,-4.241666667
530,6964072.15,712518.4503,35370844,-676.5,-11.275
531,6953500.393,720316.0458,35370845,-288.5,-4.808333333
528,6963085.917,692118.6756,35370840,-428,-7.133333333
529,6963725.442,691630.7921,35370841,-427,-7.116666667
534,6954081.627,729290.633,35370095,52,0.866666667
535,6954104.967,729611.453,35370096,77,1.283333333
532,6968194.644,705454.83,35370842,-676.5,-11.275
533,6965105.42,708854.2675,35370843,-675.5,-11.25833333
618,6990282.676,702606.0143,35370795,-676,-11.26666667
619,6958203.457,730554.8925,35370301,-251.5,-4.191666667
616,6990967.025,702714.455,35370797,-676.5,-11.275
617,6990276.849,702166.5965,35370794,-676.5,-11.275
622,6954938.358,728919.9519,35370300,-65.5,-1.091666667
623,6990101.761,703525.2167,35370799,-676.5,-11.275
620,6959358.598,730442.8686,35370302,-300,-5
621,6990142.576,702876.969,35370798,-676,-11.26666667
610,6951016.348,724045.7733,35370545,313.5,5.225
611,6954165.795,719726.9863,35370661,-256.5,-4.275
608,6951924.081,724268.0375,35370548,178,2.966666667
609,6954666.129,719825.8331,35370660,-302,-5.033333333
614,6944736.253,724225.0725,35370319,132,2.2
615,6990733.537,702455.624,35370796,-675.5,-11.25833333
612,6950920.691,724444.0479,35370546,372.5,6.208333333
613,6945267.886,725280.5288,35370318,256,4.266666667
634,6943804.358,717465.5995,35370696,75,1.25
635,6945161.462,717373.0403,35370699,74.5,1.241666667
632,6944605.401,717745.2758,35370698,74.5,1.241666667
633,6944382.833,717025.4156,35370695,75,1.25
638,6945028.729,715927.3811,35370690,75.5,1.258333333
639,6975085.437,727784.5982,35370574,-362,-6.033333333
636,6975290.245,728607.3579,35370576,-362,-6.033333333
637,6973528.264,728480.3432,35370577,-362,-6.033333333
626,6948638.928,727863.9561,35370304,692,11.53333333
627,6989915.408,702183.4384,35370792,-676.5,-11.275
624,6949436.164,727877.2697,35370305,684,11.4
625,6946820.095,726806.5043,35370306,523,8.716666667
630,6944662.296,717356.3152,35370697,75,1.25
631,6989709.756,702090.5702,35370791,-676.5,-11.275
628,6989917.96,702562.2887,35370793,-676.5,-11.275
629,6989429.823,702017.3016,35370790,-676,-11.26666667
586,6945727.641,725285.1289,35370316,393.5,6.558333333
587,6945380.978,725210.6,35370317,247,4.116666667
584,6946636.756,726147.9929,35370310,496.5,8.275
585,6946407.588,726058.888,35370311,496.5,8.275
590,6953575.031,719885.274,35370664,-206,-3.433333333
591,6953149.843,719237.5183,35370665,-190,-3.166666667
588,6946052.127,725516.1374,35370314,433.5,7.225
589,6945518.764,725576.947,35370315,349,5.816666667
578,6997315.365,730794.9255,35370557,-532.5,-8.875
