Pop,X,Y,DAUID,Extra Time (seconds),Extra time (min)
348,6950272.6,727125.4265,35370226,680,11.33333333
349,6950344.154,726821.2465,35370227,673.5,11.225
338,6952890.844,726196.837,35370117,300.5,5.008333333
339,6951013.068,726329.0784,35370230,553,9.216666667
336,6950764.397,726255.7695,35370232,597.5,9.958333333
337,6953243.162,726293.4125,35370116,140,2.333333333
342,6950193.316,727613.0343,35370224,644.5,10.74166667
343,6950432.675,727247.2414,35370225,656,10.93333333
340,6954208.156,727157.8246,35370110,128,2.133333333
341,6953761.243,726971.0811,35370111,222.5,3.708333333
672,6974193.586,701401.4635,35370780,-676.5,-11.275
650,6988934.947,704160.913,35370785,-676.5,-11.275
651,6988482.993,703703.1605,35370786,-675.5,-11.25833333
648,6947037.498,726386.1238,35370307,525.5,8.758333333
649,6946518.252,726696.3248,35370308,542.5,9.041666667
654,6975109.434,727867.9629,35370573,-362.5,-6.041666667
655,6986816.108,705997.6521,35370784,-676.5,-11.275
652,6975637.871,728082.7947,35370572,-362,-6.033333333
653,6983510.584,706633.6434,35370783,-696,-11.6
642,6944492.616,716592.5123,35370694,74.5,1.241666667
643,6972981.686,728015.7809,35370578,-362,-6.033333333
640,6974975.847,728061.1497,35370575,-362,-6.033333333
641,6944518.206,716384.9267,35370693,74.5,1.241666667
646,6971071.316,727605.7485,35370579,-362,-6.033333333
647,6944207.829,714013.8509,35370692,75,1.25
644,6946375.355,726514.24,35370309,515.5,8.591666667
645,6945022.123,715060.3128,35370691,75,1.25
666,6947561.319,723374.5397,35370339,258.5,4.308333333
667,6947055.277,723243.2761,35370336,142.5,2.375
664,6989305.129,702620.4138,35370788,-676,-11.26666667
665,6947184.805,723907.7781,35370338,318.5,5.308333333
670,6981870.261,703946.3733,35370782,-676.5,-11.275
671,6946745.762,717032.4439,35370686,13.5,0.225
668,6946857.291,723640.2191,35370337,209.5,3.491666667
